,Name,Type,Restrictions,Comment
0,dis no,string,Valor não nulo.,"Este campo é um campo indentificador de cada linha desta tabela, portanto uma chave primária. Ele é uma composição dos campos 'year','seq' e 'iso'.
"
1,year,bigint,valor não nulo e e maior que 1900,"ano em que foi efetuado o registro.
"
2,seq,bigint,valor não nulo e maior que zero.,"Sequência numérica serve como identificador unico de um evento de disastre natural numa localidade é um dado ano.
"
3,glide,string,,"GLobal IDentifier denominado pela siglaGLIDE. Este é um código de identificação exclusivo globalmente comum para desastres, destinado a facilitar as ligações entre registros em diversos bancos de dados de desastres e sites de troca de informações sobre desastres, como por exemplo o ReliefWeb. Para Mais informações acesse 'www.glidenumber.net'.
"
4,disaster group,string,"Valor não nulo, categórico e só poder assumir os seguintes valores: 'Biological', 'Geophysical', 'Climatological', 'Hydrological', 'Meteorological' and 'Extra-terrestrial disasters'.","Existem dois grupos principais de desastres são distinguidos no EM-DAT: desastres naturais e desastres tecnológicos. Este campo é automaticamente vinculado ao subgrupo do desastre e ao tipo de desastre. Existe um terceiro grupo, “Catástrofes complexas”, que inclui algumas situações de fome grave para as quais a seca não foi o principal factor causal.
"
5,disaster subgroup,string,"Valor não nulo, categórico e só poder assumir os seguintes valores: 'Natural','Technological' e 'Complex Disasters'.","Existem dois grupos principais de desastres são distinguidos no EM-DAT: desastres naturais e desastres tecnológicos. Este campo é automaticamente vinculado ao subgrupo do desastre e ao tipo de desastre. Existe um terceiro grupo, “Catástrofes complexas”, que inclui algumas situações de fome grave para as quais a seca não foi o principal factor causal.
"
6,disaster type,string,"Valor não nulo, categórico e só poder assumir os seguintes valores: 'Drought','Storm', 'Epidemic','Flood','Volcanic activity','Industrial accident','Earthquake','Miscellaneous accident','Mass movement (dry)','Transport accident','Landslide','Wildfire','Insect infestation','Complex Disasters','Extreme temperature','Fog','Impact','Animal accident e 'Animal accident'.","Em cada evento é identificado um tipo  principal de desastre. Esse campo está automaticamente relacionado ao subgrupo de desastres e ao grupo de desastres. Dois ou mais desastres podem estar relacionados (um desastre pode ocorrer como consequência de um evento principal). Por exemplo, um ciclone pode gerar uma inundação ou um deslizamento de terra; ou um terremoto pode fazer com que um gasoduto se rompa, causando um desastre ecológico. O tipo de desastre primário (ou evento desencadeador) é registrado primeiro, seguido pelos campos de Desastre Associado 1 e 2 para os secundários.
"
7,disaster subtype,string,,"Subdivisão do campo 'disaster type'.
"
8,disaster subsubtype,string,,"Subdivisão do campo 'disaster type'.
"
9,event name,string,,"Qualquer subdivisão adequada do subtipo de desastre (não aplicável a todos os subtipos de desastre).
"
10,country,string,Nome do país deve estár incluido num dos nomes da tabela ISO,"O país em que o desastre ocorreu ou teve impacto; com o nome e a grafia sendo retirados de uma lista padrão de nomes de países publicada pela Organização Internacional de Normalização (ISO). Se um desastre afetou mais de um país, haverá uma entrada para cada país.
"
11,iso,string,"Não nulo, 3 dígitos e código pertence a tabela ISO","Código de 3 dígitos atribuído unicamente a cada pais pela International Standard Organization.
"
12,region,string,"Ser uma das regiões válidas segundo a ISO: 'Northern Africa','Eastern Africa','Middle Africa','Southern Africa','Western Africa','Caribbean','Central America','South America','Northern America','Central Asia','Eastern Asia','South-eastern Asia','Southern Asia','Western Asia','Eastern Europe','Northern Europe','Southern Europe','Western Europe','Australia and New Zealand','Melanesia','Micronesia','Polynesia'.","A região à qual o país pertence. Este campo é automaticamente vinculado ao país.
"
13,continent,string,"Ser um dos continente válidos: 'Africa', 'Asia', 'Americas', 'Europe','Oceania'.","O continente ao qual o país pertence. Este campo é automaticamente vinculado ao país.
"
14,location,string,,"Especificação geográfica (por exemplo, nome de uma cidade, vila, departamento, província, estado ou distrito). Isto permite a análise subsequente da ocorrência e impacto de desastres por região, distrito ou qualquer outra fronteira administrativa subnacional.
"
15,origin,string,,"A origem desencadeadora do desastre (ou seja, fortes chuvas para uma inundação, seca para um incêndio florestal).
"
16,associated dis,string,,"Os efeitos ou consequências secundárias e/ou associadas de um evento primário (ou seja, deslizamento de terra devido a uma inundação, explosão após um terremoto, etc.)
"
17,associated dis2,string,,"Os efeitos ou consequências secundárias e/ou associadas de um evento primário (ou seja, deslizamento de terra devido a uma inundação, explosão após um terremoto, etc.)
"
18,ofda response,string,"Valores válidos: 'yes','no' ou null","Se a OFDA respondeu ao disastre.
"
19,appeal,string,"Valores válidos: 'yes','no' ou null","Se ouve requerimento de ajuda internacional dos países afetados pelo disastre  e quando ouve esse requerimento.
"
20,declaration,string,"Valores válidos: 'yes','no' ou null","Declaração de estado de emergência ou se ouve requisição por ajuda internacional.
"
